,rank,trial,l_1 ratio,score,silhouete score,rmse
37,16,2,0.0,0.8069666693579582,0.6903211736136882,0.03055307845783407
38,16,3,0.0,0.767577954420521,0.2633083902405778,0.019997798606560587
39,16,4,0.0,0.813937253778682,0.6664706858871859,0.030865444346645933
40,21,0,0.0,0.7732048795995491,0.4498980395472082,0.009267165456064777
41,21,1,0.0,0.8062863967776307,0.29862229971059706,0.018683328200145777
42,21,2,0.0,0.791549404303576,0.5377899711534496,0.01754976425577564
43,21,3,0.0,0.7503300293487806,0.3585665713427098,0.008930264156837897
44,21,4,0.0,0.7873008755503496,0.3863716473850962,0.017336657750786424
45,28,0,0.0,0.7926510327730657,0.6047525338503233,0.006046370675431126
46,28,1,0.0,0.8143197031711437,0.3125838930824956,0.00534595626506529
47,28,2,0.0,0.7511438859177288,0.37433175033973753,0.0060640547438531945
48,28,3,0.0,0.7905681127833708,0.4136391397940169,0.006061959338095581
49,28,4,0.0,0.8012351823309879,0.6991788603939079,0.0073482820219115605
50,37,0,0.0,0.8082213749149575,0.7277634115593036,0.004717640114560971
51,37,1,0.0,0.8053913299131604,0.5841251764020279,0.004629550172587588
52,37,2,0.0,0.7565606257614447,0.681573310323822,0.003843686470135001
53,37,3,0.0,0.8136381000124121,0.6396348815256582,0.00289511881321377
54,37,4,0.0,0.7911868821913423,0.4881986467644738,0.00389379203570019
55,49,0,0.0,0.7933861078145791,0.476307189279092,0.0025754259952710215
56,49,1,0.0,0.7971797778689701,0.7347161749988097,0.0017483023254132167
57,49,2,0.0,0.7509408289046844,0.4182199539213887,0.002541155648497204
58,49,3,0.0,0.790396378648056,0.5126030912792727,0.002128342510018898
59,49,4,0.0,0.7793313557889904,0.4745791414849616,0.002768654019295335
60,2,0,0.1,0.6542597517214352,0.5155146276348769,0.5402625870523101
61,2,1,0.1,0.6493956924309418,0.5147327071426133,0.5425393911106254
62,2,2,0.1,0.6404130529630625,0.5056959362107076,0.5433651176610174
63,2,3,0.1,0.6511113226653749,0.514425263173691,0.5387477990507544
64,2,4,0.1,0.6412115543735011,0.503010494027861,0.5489313406402822
65,3,0,0.1,0.7029618709783441,0.6365367150073975,0.4209138109144629
66,3,1,0.1,0.7210054581988956,0.627761111855985,0.44019681005327205
67,3,2,0.1,0.6921285344792611,0.6371214665089744,0.4212288521167948
68,3,3,0.1,0.6985043117311975,0.6430306941072097,0.4167104254050603
69,3,4,0.1,0.711237943774067,0.6470974317011985,0.41198868693431273
70,4,0,0.1,0.7614126629687517,0.7597470464555768,0.2750303978850915
71,4,1,0.1,0.7623101215617422,0.7648782329388674,0.27748022066562106
72,4,2,0.1,0.7609780154612359,0.7583251379516879,0.27852044160900047
73,4,3,0.1,0.7559506264483266,0.742731830799471,0.28130390576776465
74,4,4,0.1,0.7595805462653289,0.7536579207571003,0.2753143038619467
75,5,0,0.1,0.7938753885249963,0.705811565896164,0.2100858852184318
76,5,1,0.1,0.7747681260772796,0.7153476456807852,0.21563103101517922
77,5,2,0.1,0.7722536833987061,0.7159917902450363,0.21576648243624647
78,5,3,0.1,0.7103207247404302,0.4123559700517191,0.2141420533674658
79,5,4,0.1,0.7778458500484633,0.7082967280714901,0.21320901667291628
80,7,0,0.1,0.7773906557216776,0.744124423974138,0.13838064334152028
81,7,1,0.1,0.7861343873924398,0.6747126612367612,0.13662519395753225
82,7,2,0.1,0.7937129317741876,0.7012858622122401,0.13205092692359507
83,7,3,0.1,0.7951374455701906,0.6044143801969635,0.13889487840323314
84,7,4,0.1,0.7047142572060571,0.1662742216930724,0.13026526844985584
85,9,0,0.1,0.752024577982176,0.3871566550045204,0.12060984366316319
86,9,1,0.1,0.7813221970395132,0.6632833273410017,0.08988435102827211
87,9,2,0.1,0.7268156027542965,0.5655777554561625,0.11864838704576422
88,9,3,0.1,0.7899786121428828,0.7583264979250373,0.10963054820159611
89,9,4,0.1,0.7907803758303408,0.702638587558331,0.09912644858761738
90,12,0,0.1,0.8015921588592249,0.6465094155304495,0.0840195924518163
91,12,1,0.1,0.7967215800839124,0.7525598370714368,0.0824407639555995
92,12,2,0.1,0.8000224500215448,0.6990716925846262,0.06420784344463218
93,12,3,0.1,0.7422778566430762,0.5157173068035374,0.06387317781273161
94,12,4,0.1,0.806211355439063,0.6467717463957622,0.06323970777117077
95,16,0,0.1,0.7960665653714896,0.46389713629286317,0.040015790577914455
96,16,1,0.1,0.8125451393846121,0.6205309414762586,0.039811645208928596
97,16,2,0.1,0.8085656385903444,0.7966307813829101,0.021250758895102168
98,16,3,0.1,0.797903951207916,0.48634899227754785,0.030651112249041015
99,16,4,0.1,0.7827220406988991,0.5860932011886724,0.03348053876975236
100,21,0,0.1,0.760012626293167,0.3680248822513901,0.010610849020898311
101,21,1,0.1,0.8185758468148773,0.7635595390276245,0.01902592225390587
102,21,2,0.1,0.8200759826390637,0.5796412214263363,0.01379366872476967
103,21,3,0.1,0.8161869539841359,0.615075658631739,0.010622960055146551
104,21,4,0.1,0.8218516984358372,0.6600116768397689,0.01850735626737227
105,28,0,0.1,0.7911217830791494,0.5919332459615703,0.004772790999107946
106,28,1,0.1,0.811718088369512,0.5911181100755087,0.007320408409780212
107,28,2,0.1,0.8112464615795612,0.556248869955588,0.006820560560041353
108,28,3,0.1,0.8036833739638025,0.5703728215012978,0.005271078004694302
109,28,4,0.1,0.8170108238036743,0.5445245077774279,0.004903558272544196
110,37,0,0.1,0.7942261592937466,0.5855045447709194,0.004595620855212415
111,37,1,0.1,0.7955739877552475,0.5132757628810164,0.0026597051388692447
112,37,2,0.1,0.8193214131590709,0.6472085987570393,0.002948483307057411
113,37,3,0.1,0.7989520214542489,0.6797279019304017,0.0034507484398778204
114,37,4,0.1,0.7992187463582673,0.5142098698089096,0.0037142254454202443
115,49,0,0.1,0.7627585335705429,0.733551403502856,0.0013722794811646035
116,49,1,0.1,0.7914276396899782,0.6430230672430228,0.0023832177396236054
117,49,2,0.1,0.7965328777697291,0.48089108451885554,0.003937626028527691
118,49,3,0.1,0.8038215969609674,0.5989459584262193,0.002578767845965043
119,49,4,0.1,0.7999613614056653,0.6403803249368071,0.0012940700593269453
120,2,0,0.2,0.6411136577455164,0.5017552656465669,0.5518245445154125
121,2,1,0.2,0.6588439359975761,0.5209638722967531,0.5397940465611684
122,2,2,0.2,0.6414719972007412,0.5067325648161468,0.5440489275458351
123,2,3,0.2,0.6562106424790897,0.51697393812234,0.5419206278248735
124,2,4,0.2,0.644198178516201,0.5055892520106192,0.54668069904715
125,3,0,0.2,0.6955166833928599,0.6428234308379338,0.41587776125825554
126,3,1,0.2,0.6878357732983283,0.6282795878152643,0.4266451180648836
127,3,2,0.2,0.7087709379889814,0.6438642077645543,0.4127888142492603
128,3,3,0.2,0.6906390637763359,0.6358397286017528,0.4205342323694887
129,3,4,0.2,0.6917073842451666,0.6347871694715389,0.41859478934899713
130,4,0,0.2,0.76516102381723,0.7610115492672682,0.2800873579556224
131,4,1,0.2,0.7619047158318074,0.753421813885841,0.2775721534454852
132,4,2,0.2,0.7560726745568905,0.7484512792117081,0.2805098116748901
133,4,3,0.2,0.7619542861178333,0.7445865033761576,0.2772209049022189
134,4,4,0.2,0.7584809218115268,0.7585651366635212,0.2817156818764036
135,5,0,0.2,0.7703494201202196,0.654218512378627,0.2777907100657322
136,5,1,0.2,0.7742903726876483,0.7166888915341223,0.21100529163495726
137,5,2,0.2,0.7759493499974202,0.7222150514408452,0.2099385199370893
138,5,3,0.2,0.7692430322850643,0.697444280232436,0.21606753085135683
139,5,4,0.2,0.774823789459031,0.695465700733491,0.21796625259756522
140,7,0,0.2,0.8039575598795297,0.7155073729109735,0.12826519991698968
141,7,1,0.2,0.8052044758990822,0.7194668242996343,0.12568130323453627
142,7,2,0.2,0.7303807052871025,0.13510894840492405,0.1298863587646023
143,7,3,0.2,0.7774719946806055,0.3333840579509086,0.13980642391057105
144,7,4,0.2,0.7753015752892837,0.6961375388766524,0.12347694188098914
145,9,0,0.2,0.7799032246018786,0.6083787655988258,0.10331451670323291
146,9,1,0.2,0.7398658649681791,0.20427517667205172,0.10142564025180907
147,9,2,0.2,0.7689629884839108,0.6525305840797239,0.11573808213185512
148,9,3,0.2,0.7885248039463495,0.7507048040448974,0.098604499367077
149,9,4,0.2,0.770669854157158,0.6434293519372835,0.12250007770314461
150,12,0,0.2,0.794802331366208,0.6381840325850423,0.08394693569357017
151,12,1,0.2,0.7312011043381245,0.3936920463556071,0.04887242460078767
152,12,2,0.2,0.79079694650938,0.6511312529408962,0.05179494441625644
153,12,3,0.2,0.8093842522752849,0.5590857415819417,0.06422687362106022
154,12,4,0.2,0.7955653423841844,0.735987574858536,0.06152707766679173
155,16,0,0.2,0.7678390916686645,0.5695787899655449,0.03373580483399575
156,16,1,0.2,0.7966303422640029,0.6272696756916425,0.041095202129127775
157,16,2,0.2,0.7927133611971954,0.3928191185417598,0.035292019741674896
158,16,3,0.2,0.8184628872277223,0.6249918645683765,0.030751629505340668
159,16,4,0.2,0.7916798118184656,0.5023668593175991,0.03128558505461677
160,21,0,0.2,0.8014489497804601,0.43553302207425,0.00782555474624093
161,21,1,0.2,0.818972954380668,0.3682365361536491,0.016826442331571222
162,21,2,0.2,0.7894340297062474,0.4063845205943263,0.012549724408974115
163,21,3,0.2,0.831191287460456,0.4580525209921568,0.01857262021895332
164,21,4,0.2,0.7953054032848578,0.42186435215296697,0.008924532423314853
165,28,0,0.2,0.8066621796155643,0.6504153336863385,0.007485711464231104
166,28,1,0.2,0.808539492174441,0.7048973642251044,0.005477359604049483
167,28,2,0.2,0.7955238065792977,0.42430266810433365,0.006124417793824295
168,28,3,0.2,0.8057662911477131,0.3859950656396443,0.0055253937961146846
169,28,4,0.2,0.7932095078834209,0.3441632571075677,0.007056458005703441
170,37,0,0.2,0.811519596897391,0.5929095024337409,0.0035003833701603114
171,37,1,0.2,0.7483646917156292,0.5387467993341386,0.0034876101852635167
172,37,2,0.2,0.8163435369562648,0.47222398033363167,0.003520599452940598
173,37,3,0.2,0.7831144349231636,0.6847681316714503,0.002590311698489938
174,37,4,0.2,0.8056971382346707,0.650670023199497,0.0033429927032458864
175,49,0,0.2,0.7566603401401785,-0.11244767232682348,0.0006739208713121407
176,49,1,0.2,0.8098717916608871,0.5503238489393141,0.0017048570674371702
177,49,2,0.2,0.7690950911297872,0.34630228597361695,0.002458086046725792
178,49,3,0.2,0.8049170298906091,0.43317296052678295,0.002493210432654987
179,49,4,0.2,0.7951899477534935,0.335433139373624,0.0017993738910977767
180,2,0,0.5,0.645126667482265,0.5143108950542528,0.5387661657423433
181,2,1,0.5,0.6370568289099373,0.5056286753453982,0.5439116227563584
182,2,2,0.5,0.6474643139702747,0.5106971193713599,0.5445506000660997
183,2,3,0.5,0.6468246450825915,0.5090199484008474,0.5510708010494809
184,2,4,0.5,0.6541399519134442,0.5192149029464143,0.5385430578279212
185,3,0,0.5,0.6970705462763153,0.5871696409797336,0.459461259338238
186,3,1,0.5,0.7093644510304385,0.6369141092786789,0.41690814497508094
187,3,2,0.5,0.7071464152377431,0.6413648161680032,0.41620948923028994
188,3,3,0.5,0.7002209746774964,0.6424731590859505,0.4171672848380605
189,3,4,0.5,0.725045602296456,0.6232617109729897,0.45141553796168066
190,4,0,0.5,0.7605597327711231,0.7584212438065998,0.28120696623268054
191,4,1,0.5,0.7596470923302971,0.763832224326895,0.2778633815222877
192,4,2,0.5,0.7609911596748512,0.7605707767409996,0.28091133405376467
