,rank,trial,l_1 ratio,score,silhouete score,rmse
42,21,2,0.0,0.7646174478031168,0.2967232461666613,0.11972372178921381
43,21,3,0.0,0.8026212981337685,0.3200738235647582,0.10728615157339957
44,21,4,0.0,0.7724811344634437,0.20183743324811507,0.10139710097183899
45,28,0,0.0,0.7555073095924038,0.1405039829774058,0.11811592670154711
46,28,1,0.0,0.7417851136227155,0.09599372503883867,0.10898750807948002
47,28,2,0.0,0.7394457920047669,0.10544467663750748,0.08914530732436084
48,28,3,0.0,0.7747169755258865,0.10413099414879445,0.11338889929596163
49,28,4,0.0,0.7637887620794352,0.15669317467882535,0.08038572903820974
50,37,0,0.0,0.7780364527394169,0.2078124163608371,0.0756565743697601
51,37,1,0.0,0.7399277834717877,-0.02613160517904995,0.03986568391056516
52,37,2,0.0,0.7538203696160714,0.037370958348087784,0.04616154769070035
53,37,3,0.0,0.75477501029351,-0.017503287542802698,0.06883388069498239
54,37,4,0.0,0.7384388624844013,0.06115755208864383,0.04398563778603802
55,49,0,0.0,0.7347615841844936,-0.15713482970130208,0.07386403852105335
56,49,1,0.0,0.739850526732521,-0.13688508770544755,0.03462446505922275
57,49,2,0.0,0.7449255207569244,-0.05783574043360845,0.065573065089378
58,49,3,0.0,0.7406059971873968,-0.03257537786802364,0.03822024044620863
59,49,4,0.0,0.740916811429473,-0.10989076502535754,0.07092470552138251
60,2,0,0.1,0.6477346312923625,0.521738632682217,1.3648355166880384
61,2,1,0.1,0.6512014181332606,0.5199023238345096,1.3636482566981027
62,2,2,0.1,0.6525847439920093,0.5216980500786672,1.370362500664874
63,2,3,0.1,0.6590316497442198,0.5225860366401369,1.3718932268948385
64,2,4,0.1,0.6106920341229598,0.500884225897157,1.3839379577996973
65,3,0,0.1,0.6879796854339325,0.5056783817703068,1.01052768973281
66,3,1,0.1,0.7147065840307425,0.5799555878890243,1.004409479426964
67,3,2,0.1,0.6906380082693554,0.3969086279397106,1.232647568413456
68,3,3,0.1,0.7136397845249268,0.5810304293530381,1.011505297341848
69,3,4,0.1,0.7061795669912686,0.595031421125268,1.021814035792778
70,4,0,0.1,0.7362727057643047,0.5634365749275587,0.8950038464043382
71,4,1,0.1,0.7721514110013409,0.7396116955879091,0.8252672659614397
72,4,2,0.1,0.7166001580796267,0.5751386757007053,0.9002206469374979
73,4,3,0.1,0.7550095374217826,0.5778115760961757,0.9352721904488651
74,4,4,0.1,0.7125082797384708,0.5819036168516917,0.8759917511995357
75,5,0,0.1,0.80060770470139,0.6857149070215048,0.6861305273019692
76,5,1,0.1,0.7490745360880354,0.5769191894335791,0.7457629784201999
77,5,2,0.1,0.7697749477708674,0.5939908030925046,0.7917378688235135
78,5,3,0.1,0.7707810061474716,0.7056194034209495,0.6635227582607328
